Numero da Venda;Data da Venda;Data do Envio;ID Canal;ID Loja;ID Produto;ID Promocao;ID Cliente;Quantidade Vendida;Quantidade Devolvida
1170;01/01/2017;08/01/2017;7;10;1116;2;10013;9;0
1309;01/01/2017;07/01/2017;6;15;436;2;19436;27;0
1394;01/01/2017;02/01/2017;1;10;844;2;32190;4;1
1444;01/01/2017;07/01/2017;6;13;124;2;13045;9;1
1447;01/01/2017;01/01/2017;0;10;248;2;14506;9;1
1452;01/01/2017;01/01/2017;0;10;1498;2;9784;9;1
1477;01/01/2017;01/01/2017;0;15;1059;2;15452;9;0
1481;01/01/2017;01/01/2017;0;2;360;2;10665;9;0
1499;01/01/2017;01/01/2017;0;15;1297;2;25844;9;0
1516;01/01/2017;02/01/2017;1;17;1439;2;12395;9;0
1518;01/01/2017;09/01/2017;8;13;1297;2;5296;9;0
1521;01/01/2017;01/01/2017;0;9;292;2;25278;9;0
1524;01/01/2017;02/01/2017;1;5;383;2;32402;9;0
1526;01/01/2017;01/01/2017;0;16;725;2;9581;9;0
1529;01/01/2017;08/01/2017;7;10;1380;2;16506;9;0
1546;01/01/2017;11/01/2017;10;16;1649;2;26914;9;0
1567;01/01/2017;08/01/2017;7;15;1104;2;36190;9;0
1577;01/01/2017;01/01/2017;0;16;1026;2;14846;9;0
1584;01/01/2017;01/01/2017;0;15;977;2;8469;9;0
1589;01/01/2017;07/01/2017;6;23;386;2;11409;9;0
1590;01/01/2017;02/01/2017;1;25;1325;2;28590;9;0
1658;01/01/2017;01/01/2017;0;15;540;2;4035;9;0
1664;01/01/2017;01/01/2017;0;25;720;2;21141;9;0
1665;01/01/2017;01/01/2017;0;17;308;2;7951;9;0
1685;01/01/2017;02/01/2017;1;9;1433;2;20921;9;0
1949;01/01/2017;08/01/2017;7;17;1449;2;37873;18;0
1999;01/01/2017;01/01/2017;0;15;2508;2;34717;160;0
2042;01/01/2017;07/01/2017;6;24;1249;2;22165;4;0
2058;01/01/2017;01/01/2017;0;13;1283;2;12489;4;0
2073;01/01/2017;09/01/2017;8;10;632;2;10776;4;0
2080;01/01/2017;07/01/2017;6;17;933;2;11361;4;0
2081;01/01/2017;02/01/2017;1;24;796;2;14901;4;0
2101;01/01/2017;01/01/2017;0;17;909;2;21644;4;0
2119;01/01/2017;11/01/2017;10;17;469;2;9437;4;0
2135;01/01/2017;02/01/2017;1;14;385;2;11914;4;0
2155;01/01/2017;07/01/2017;6;13;1382;2;18312;4;0
2163;01/01/2017;03/01/2017;2;13;842;2;5346;4;0
2171;01/01/2017;04/01/2017;3;14;801;2;18436;4;0
2266;01/01/2017;06/01/2017;5;24;460;2;35351;12;0
2275;01/01/2017;01/01/2017;0;25;737;2;19807;9;0
2278;01/01/2017;01/01/2017;0;9;1515;2;19454;9;0
2288;01/01/2017;01/01/2017;0;25;368;2;13116;9;0
2296;01/01/2017;01/01/2017;0;19;406;2;25979;9;0
2299;01/01/2017;02/01/2017;1;15;1142;2;11952;9;0
2318;01/01/2017;04/01/2017;3;9;756;2;23296;9;0
2324;01/01/2017;01/01/2017;0;13;1435;2;31968;9;0
2394;01/01/2017;06/01/2017;5;10;837;2;11058;4;0
2406;01/01/2017;01/01/2017;0;9;180;2;19286;4;0
2460;02/01/2017;07/01/2017;5;17;1106;2;32229;4;1
2475;02/01/2017;09/01/2017;7;7;1435;2;13891;9;1
2482;02/01/2017;02/01/2017;0;20;1411;2;9729;9;0
2491;02/01/2017;02/01/2017;0;15;1402;2;30527;9;0
2499;02/01/2017;04/01/2017;2;25;1372;2;14748;9;0
2587;02/01/2017;02/01/2017;0;12;881;2;18944;4;0
2591;02/01/2017;08/01/2017;6;7;907;2;12841;4;0
2624;02/01/2017;03/01/2017;1;12;330;2;8108;18;0
2629;02/01/2017;07/01/2017;5;18;716;2;28333;9;0
2651;02/01/2017;03/01/2017;1;17;1350;2;35987;4;0
2663;02/01/2017;06/01/2017;4;20;2507;2;11220;80;0
2733;02/01/2017;04/01/2017;2;16;930;2;24502;4;1
2751;02/01/2017;02/01/2017;0;16;2488;2;28820;80;1
2779;02/01/2017;07/01/2017;5;17;1416;2;29368;9;1
2784;02/01/2017;02/01/2017;0;20;1005;2;26206;9;1
2790;02/01/2017;02/01/2017;0;11;1120;2;20163;9;1
2793;02/01/2017;02/01/2017;0;15;638;2;33369;9;1
2804;02/01/2017;02/01/2017;0;11;1076;2;32352;9;1
2807;02/01/2017;05/01/2017;3;15;1416;2;20988;9;1
2822;02/01/2017;02/01/2017;0;1;153;2;26660;9;0
2828;02/01/2017;02/01/2017;0;11;1345;2;9292;9;0
2836;02/01/2017;03/01/2017;1;16;1296;2;12959;9;0
2854;02/01/2017;02/01/2017;0;8;257;2;33011;9;0
2856;02/01/2017;02/01/2017;0;21;1365;2;14413;9;0
2863;02/01/2017;02/01/2017;0;15;154;2;26721;9;0
2876;02/01/2017;02/01/2017;0;5;1466;2;23516;9;0
2881;02/01/2017;02/01/2017;0;20;1019;2;28591;9;0
2887;02/01/2017;02/01/2017;0;5;1463;2;22077;9;0
2889;02/01/2017;04/01/2017;2;2;1307;2;4142;9;0
2900;02/01/2017;05/01/2017;3;21;1328;2;24950;9;0
2908;02/01/2017;04/01/2017;2;13;390;2;16524;9;0
2917;02/01/2017;02/01/2017;0;21;1456;2;26509;9;0
2921;02/01/2017;06/01/2017;4;17;1051;2;8984;9;0
2966;02/01/2017;04/01/2017;2;8;269;2;22295;9;0
2972;02/01/2017;07/01/2017;5;18;1495;2;19752;9;0
2975;02/01/2017;02/01/2017;0;2;579;2;6444;9;0
2981;02/01/2017;02/01/2017;0;8;556;2;25714;9;0
2991;02/01/2017;04/01/2017;2;2;1432;2;27827;9;0
2993;02/01/2017;02/01/2017;0;20;1042;2;18547;9;0
2998;02/01/2017;02/01/2017;0;25;654;2;33778;9;0
3003;02/01/2017;02/01/2017;0;19;1092;2;18091;9;0
3009;02/01/2017;04/01/2017;2;16;40;2;21314;9;0
3016;02/01/2017;04/01/2017;2;1;1069;2;23960;9;0
3020;02/01/2017;02/01/2017;0;19;691;2;28533;9;0
3035;02/01/2017;07/01/2017;5;5;368;2;31640;9;0
3299;02/01/2017;02/01/2017;0;19;1248;2;17347;4;0
3305;02/01/2017;02/01/2017;0;19;1377;2;17952;4;0
3309;02/01/2017;02/01/2017;0;11;1441;2;22368;4;0
3312;02/01/2017;02/01/2017;0;18;167;2;24736;4;0
3330;02/01/2017;02/01/2017;0;12;831;2;8392;4;0
3349;02/01/2017;02/01/2017;0;18;573;2;12041;4;0
3364;02/01/2017;02/01/2017;0;18;782;2;7758;4;0
3365;02/01/2017;02/01/2017;0;7;1135;2;29132;4;0
3388;02/01/2017;02/01/2017;0;12;328;2;30126;4;0
3395;02/01/2017;02/01/2017;0;8;1457;2;11895;4;0
3402;02/01/2017;06/01/2017;4;6;357;2;14113;4;0
3413;02/01/2017;02/01/2017;0;17;328;2;38129;4;0
3601;02/01/2017;04/01/2017;2;1;638;2;7251;9;0
3623;02/01/2017;03/01/2017;1;8;255;2;10029;9;0
3630;02/01/2017;02/01/2017;0;18;1587;2;27433;9;0
3665;02/01/2017;02/01/2017;0;19;155;2;17925;9;0
3672;02/01/2017;02/01/2017;0;18;695;2;9711;9;0
3674;02/01/2017;02/01/2017;0;16;736;2;22952;9;0
3760;02/01/2017;07/01/2017;5;25;831;2;23034;4;0
3776;02/01/2017;04/01/2017;2;11;574;2;9100;4;0
3804;02/01/2017;03/01/2017;1;20;1515;2;13957;9;1
3833;02/01/2017;09/01/2017;7;7;419;2;16065;27;1
3874;02/01/2017;11/01/2017;9;16;420;2;34934;27;1
3879;02/01/2017;03/01/2017;1;7;512;2;29551;4;1
3921;02/01/2017;03/01/2017;1;20;517;2;16544;9;1
3924;02/01/2017;03/01/2017;1;15;1375;2;26257;9;1
3929;02/01/2017;03/01/2017;1;9;411;2;25178;9;1
3930;02/01/2017;03/01/2017;1;16;1466;2;14623;9;1
3937;02/01/2017;02/01/2017;0;16;1427;2;16977;9;1
3938;02/01/2017;10/01/2017;8;11;182;2;13392;9;1
3941;02/01/2017;02/01/2017;0;11;1381;2;10407;9;1
3945;02/01/2017;02/01/2017;0;20;452;2;7529;12;1
3955;02/01/2017;02/01/2017;0;25;1063;2;17222;9;0
3957;02/01/2017;02/01/2017;0;1;1590;2;30912;9;0
3976;02/01/2017;08/01/2017;6;21;1530;2;15083;9;0
3987;02/01/2017;02/01/2017;0;4;257;2;28115;9;0
3992;02/01/2017;04/01/2017;2;8;283;2;11494;9;0
3999;02/01/2017;02/01/2017;0;20;692;2;38193;9;0
4008;02/01/2017;05/01/2017;3;1;1466;2;30300;9;0
4012;02/01/2017;08/01/2017;6;7;1072;2;9776;9;0
4026;02/01/2017;02/01/2017;0;7;699;2;10921;9;0
4037;02/01/2017;04/01/2017;2;12;731;2;14349;9;0
4044;02/01/2017;08/01/2017;6;2;1346;2;22641;9;0
4055;02/01/2017;02/01/2017;0;25;567;2;18050;9;0
4056;02/01/2017;03/01/2017;1;8;626;2;22946;9;0
4062;02/01/2017;03/01/2017;1;19;750;2;15229;9;0
4063;02/01/2017;02/01/2017;0;5;1122;2;34912;9;0
4076;02/01/2017;08/01/2017;6;5;270;2;35091;9;0
4078;02/01/2017;03/01/2017;1;12;244;2;22894;9;0
4086;02/01/2017;02/01/2017;0;21;1466;2;33228;9;0
4087;02/01/2017;10/01/2017;8;21;1320;2;19785;9;0
4088;02/01/2017;03/01/2017;1;12;1080;2;23182;9;0
4101;02/01/2017;02/01/2017;0;25;1057;2;23524;9;0
4120;02/01/2017;02/01/2017;0;20;1034;2;17449;9;0
4129;02/01/2017;02/01/2017;0;4;711;2;18138;9;0
4136;02/01/2017;02/01/2017;0;11;1035;2;1619;9;0
4142;02/01/2017;03/01/2017;1;1;575;2;27803;9;0
4156;02/01/2017;09/01/2017;7;2;1327;2;24610;9;0
4157;02/01/2017;05/01/2017;3;2;1554;2;32223;9;0
4425;02/01/2017;02/01/2017;0;5;1469;2;12325;8;0
4426;02/01/2017;02/01/2017;0;4;673;2;7806;8;0
4482;02/01/2017;06/01/2017;4;21;2490;2;15196;80;0
4483;02/01/2017;02/01/2017;0;18;2490;2;28356;80;0
4537;02/01/2017;02/01/2017;0;25;1050;2;8684;4;0
4543;02/01/2017;05/01/2017;3;1;1251;2;4324;4;0
4546;02/01/2017;02/01/2017;0;17;4;2;26595;4;0
4549;02/01/2017;05/01/2017;3;15;191;2;19483;4;0
4557;02/01/2017;04/01/2017;2;7;527;2;28037;4;0
4563;02/01/2017;06/01/2017;4;11;1268;2;15810;4;0
4574;02/01/2017;09/01/2017;7;18;1441;2;16004;4;0
4583;02/01/2017;04/01/2017;2;7;262;2;26249;4;0
4590;02/01/2017;03/01/2017;1;2;895;2;9905;4;0
4593;02/01/2017;08/01/2017;6;8;707;2;8545;4;0
4597;02/01/2017;06/01/2017;4;20;824;2;19022;4;0
4598;02/01/2017;02/01/2017;0;21;312;2;28360;4;0
4599;02/01/2017;03/01/2017;1;5;836;2;26270;4;0
4617;02/01/2017;02/01/2017;0;8;262;2;30715;4;0
4634;02/01/2017;02/01/2017;0;25;846;2;12919;4;0
4644;02/01/2017;06/01/2017;4;2;988;2;16686;4;0
4646;02/01/2017;02/01/2017;0;11;116;2;22050;4;0
4737;02/01/2017;04/01/2017;2;8;442;2;18736;12;0
4746;02/01/2017;02/01/2017;0;1;1537;2;13507;9;0
4751;02/01/2017;02/01/2017;0;15;1138;2;13492;9;0
4754;02/01/2017;07/01/2017;5;19;1562;2;35867;9;0
4766;02/01/2017;04/01/2017;2;11;1072;2;13703;9;0
4768;02/01/2017;05/01/2017;3;19;1358;2;17762;9;0
4776;02/01/2017;02/01/2017;0;4;1012;2;28278;9;0
4851;02/01/2017;02/01/2017;0;17;573;2;29848;4;0
4852;02/01/2017;09/01/2017;7;25;1383;2;15579;4;0
4863;02/01/2017;02/01/2017;0;5;1017;2;10713;4;0
4867;02/01/2017;05/01/2017;3;18;328;2;32125;4;0
4871;02/01/2017;02/01/2017;0;15;472;2;8268;4;0
4910;02/01/2017;02/01/2017;0;19;436;2;19029;27;0
4930;03/01/2017;06/01/2017;3;25;974;2;21988;8;1
4942;03/01/2017;08/01/2017;5;24;1637;2;13947;9;1
4945;03/01/2017;03/01/2017;0;22;347;2;30795;9;1
4973;03/01/2017;12/01/2017;9;15;1588;2;31152;9;0
4980;03/01/2017;03/01/2017;0;13;1550;2;27237;9;0
4991;03/01/2017;03/01/2017;0;22;458;2;9515;12;0
5035;03/01/2017;03/01/2017;0;21;197;2;14711;4;0
5046;03/01/2017;05/01/2017;2;19;673;2;26712;4;0
5051;03/01/2017;07/01/2017;4;12;1030;2;24831;4;0
5054;03/01/2017;03/01/2017;0;7;812;2;3816;4;0
5114;03/01/2017;06/01/2017;3;13;1349;2;28251;4;0
5122;03/01/2017;03/01/2017;0;9;1433;2;19617;9;1
5173;03/01/2017;03/01/2017;0;1;929;2;16659;4;1
5216;03/01/2017;05/01/2017;2;24;946;2;27511;4;1
5217;03/01/2017;04/01/2017;1;7;1639;2;39168;4;1
5246;03/01/2017;04/01/2017;1;7;1332;2;29866;9;1
5295;03/01/2017;04/01/2017;1;23;1013;2;29148;9;0
5315;03/01/2017;03/01/2017;0;21;1646;2;32568;9;0
5319;03/01/2017;08/01/2017;5;19;643;2;21754;9;0
5324;03/01/2017;05/01/2017;2;8;1630;2;17225;9;0
5329;03/01/2017;06/01/2017;3;8;1405;2;25562;9;0
5331;03/01/2017;03/01/2017;0;14;615;2;4733;9;0
5332;03/01/2017;06/01/2017;3;13;544;2;28661;9;0
5333;03/01/2017;06/01/2017;3;23;627;2;29707;9;0
5367;03/01/2017;08/01/2017;5;24;811;2;13457;9;0
5371;03/01/2017;08/01/2017;5;16;242;2;35515;9;0
5375;03/01/2017;03/01/2017;0;14;670;2;33940;9;0
5384;03/01/2017;10/01/2017;7;11;1072;2;30585;9;0
5387;03/01/2017;06/01/2017;3;17;1427;2;31701;9;0
5394;03/01/2017;03/01/2017;0;16;544;2;26835;9;0
5398;03/01/2017;09/01/2017;6;22;1568;2;26678;9;0
5399;03/01/2017;03/01/2017;0;12;995;2;14576;9;0
5402;03/01/2017;11/01/2017;8;2;153;2;26762;9;0
5403;03/01/2017;04/01/2017;1;17;1509;2;17404;9;0
5413;03/01/2017;04/01/2017;1;8;1558;2;19180;9;0
5414;03/01/2017;03/01/2017;0;11;658;2;21142;9;0
5415;03/01/2017;03/01/2017;0;15;1048;2;9212;9;0
5417;03/01/2017;05/01/2017;2;21;406;2;14442;9;0
5427;03/01/2017;09/01/2017;6;3;681;2;30342;9;0
5428;03/01/2017;03/01/2017;0;1;1324;2;21590;9;0
5435;03/01/2017;03/01/2017;0;1;756;2;21556;9;0
5436;03/01/2017;03/01/2017;0;11;1655;2;4052;9;0
5439;03/01/2017;03/01/2017;0;2;165;2;37523;9;0
5455;03/01/2017;03/01/2017;0;4;1133;2;14541;9;0
5456;03/01/2017;04/01/2017;1;23;1141;2;28700;9;0
5462;03/01/2017;03/01/2017;0;15;1398;2;21942;9;0
5477;03/01/2017;03/01/2017;0;7;730;2;28552;9;0
5479;03/01/2017;04/01/2017;1;24;1007;2;22665;9;0
5488;03/01/2017;05/01/2017;2;15;953;2;22457;9;0
5493;03/01/2017;03/01/2017;0;19;1045;2;6816;9;0
5753;03/01/2017;03/01/2017;0;3;777;2;29297;8;0
5760;03/01/2017;03/01/2017;0;16;1251;2;13741;4;0
5761;03/01/2017;05/01/2017;2;25;895;2;26551;4;0
5763;03/01/2017;09/01/2017;6;5;329;2;28921;4;0
5767;03/01/2017;12/01/2017;9;16;488;2;25655;4;0
5770;03/01/2017;03/01/2017;0;19;941;2;23860;4;0
5771;03/01/2017;04/01/2017;1;25;832;2;24411;4;0
5785;03/01/2017;03/01/2017;0;4;1017;2;27295;4;0
5791;03/01/2017;09/01/2017;6;13;253;2;4334;4;0
5795;03/01/2017;03/01/2017;0;17;930;2;15226;4;0
5796;03/01/2017;07/01/2017;4;22;116;2;16908;4;0
5801;03/01/2017;08/01/2017;5;16;777;2;8090;4;0
5802;03/01/2017;06/01/2017;3;23;845;2;34160;4;0
5804;03/01/2017;08/01/2017;5;4;2;2;32849;4;0
5812;03/01/2017;03/01/2017;0;9;1028;2;28272;4;0
5820;03/01/2017;03/01/2017;0;18;899;2;20522;4;0
5821;03/01/2017;06/01/2017;3;19;228;2;30789;4;0
5823;03/01/2017;03/01/2017;0;3;755;2;14862;4;0
5826;03/01/2017;03/01/2017;0;18;1384;2;24672;4;0
5827;03/01/2017;03/01/2017;0;5;928;2;23572;4;0
5832;03/01/2017;05/01/2017;2;17;787;2;3437;4;0
5838;03/01/2017;04/01/2017;1;23;1123;2;14881;4;0
5841;03/01/2017;03/01/2017;0;21;1349;2;1329;4;0
5844;03/01/2017;03/01/2017;0;18;1589;2;28071;4;0
5858;03/01/2017;03/01/2017;0;17;794;2;26990;4;0
5862;03/01/2017;09/01/2017;6;23;836;2;15791;4;0
5960;03/01/2017;03/01/2017;0;14;2508;2;27780;80;0
5965;03/01/2017;03/01/2017;0;23;426;2;30018;54;0
6038;03/01/2017;08/01/2017;5;18;418;2;29891;12;0
6040;03/01/2017;03/01/2017;0;18;1411;2;34515;9;0
6076;03/01/2017;05/01/2017;2;3;1418;2;10284;9;0
6081;03/01/2017;04/01/2017;1;13;982;2;8955;9;0
6090;03/01/2017;07/01/2017;4;18;980;2;20221;9;0
6161;03/01/2017;04/01/2017;1;5;897;2;21639;4;0
6162;03/01/2017;10/01/2017;7;11;67;2;14942;4;0
6165;03/01/2017;12/01/2017;9;9;755;2;18606;4;0
6173;03/01/2017;05/01/2017;2;21;806;2;8631;4;0
6178;03/01/2017;05/01/2017;2;2;1111;2;34107;4;0
6233;03/01/2017;03/01/2017;0;7;1283;2;29767;8;2
6242;03/01/2017;06/01/2017;3;1;986;2;24223;4;1
6259;03/01/2017;09/01/2017;6;24;778;2;21224;4;1
6277;03/01/2017;03/01/2017;0;4;1420;2;10946;4;1
6326;03/01/2017;07/01/2017;4;7;257;2;16280;9;1
6330;03/01/2017;03/01/2017;0;25;1646;2;13371;9;1
6332;03/01/2017;04/01/2017;1;9;1018;2;1310;9;1
6337;03/01/2017;06/01/2017;3;12;1056;2;20305;9;1
6342;03/01/2017;04/01/2017;1;1;1452;2;7097;9;1
6344;03/01/2017;05/01/2017;2;1;780;2;7970;9;1
6348;03/01/2017;08/01/2017;5;24;746;2;24310;9;1
6350;03/01/2017;03/01/2017;0;9;165;2;20912;9;1
6357;03/01/2017;04/01/2017;1;25;1400;2;21732;9;1
6377;03/01/2017;08/01/2017;5;17;1121;2;14122;9;0
6378;03/01/2017;03/01/2017;0;23;567;2;3012;9;0
6390;03/01/2017;03/01/2017;0;4;1045;2;29372;9;0
6391;03/01/2017;04/01/2017;1;9;1641;2;28919;9;0
6397;03/01/2017;04/01/2017;1;1;658;2;8922;9;0
6403;03/01/2017;03/01/2017;0;13;1394;2;23884;9;0
6412;03/01/2017;06/01/2017;3;20;1561;2;31686;9;0
6422;03/01/2017;09/01/2017;6;4;393;2;31449;9;0
6425;03/01/2017;03/01/2017;0;17;1514;2;34445;9;0
6436;03/01/2017;12/01/2017;9;15;1357;2;4373;9;0
6438;03/01/2017;03/01/2017;0;24;815;2;17573;9;0
6453;03/01/2017;06/01/2017;3;17;1305;2;26135;9;0
6462;03/01/2017;05/01/2017;2;22;1079;2;25148;9;0
6463;03/01/2017;03/01/2017;0;2;821;2;12009;9;0
6464;03/01/2017;08/01/2017;5;13;1361;2;28617;9;0
6472;03/01/2017;10/01/2017;7;16;551;2;21854;9;0
6485;03/01/2017;08/01/2017;5;21;603;2;25937;9;0
6488;03/01/2017;05/01/2017;2;22;1394;2;24988;9;0
6491;03/01/2017;03/01/2017;0;5;1324;2;7940;9;0
6498;03/01/2017;03/01/2017;0;15;1630;2;24943;9;0
6500;03/01/2017;08/01/2017;5;14;746;2;37371;9;0
6506;03/01/2017;04/01/2017;1;17;658;2;17816;9;0
6513;03/01/2017;03/01/2017;0;13;672;2;37493;9;0
6520;03/01/2017;03/01/2017;0;5;1433;2;29328;9;0
6526;03/01/2017;03/01/2017;0;20;1489;2;20337;9;0
6529;03/01/2017;03/01/2017;0;20;1047;2;27398;9;0
6530;03/01/2017;03/01/2017;0;11;1363;2;10406;9;0
6534;03/01/2017;03/01/2017;0;12;1323;2;31585;9;0
6535;03/01/2017;13/01/2017;10;12;1334;2;34083;9;0
6541;03/01/2017;03/01/2017;0;15;1121;2;14779;9;0
6546;03/01/2017;04/01/2017;1;14;1018;2;20258;9;0
6550;03/01/2017;04/01/2017;1;21;244;2;6936;9;0
6552;03/01/2017;10/01/2017;7;25;1142;2;12807;9;0
6555;03/01/2017;03/01/2017;0;20;1306;2;27813;9;0
6562;03/01/2017;04/01/2017;1;7;1479;2;8997;9;0
6563;03/01/2017;05/01/2017;2;19;1588;2;1493;9;0
6572;03/01/2017;04/01/2017;1;11;1393;2;19213;9;0
6575;03/01/2017;03/01/2017;0;2;517;2;15487;9;0
6583;03/01/2017;03/01/2017;0;12;1429;2;28908;9;0
6584;03/01/2017;03/01/2017;0;14;1304;2;19297;9;0
6588;03/01/2017;03/01/2017;0;2;720;2;30514;9;0
6591;03/01/2017;03/01/2017;0;20;1531;2;23950;9;0
6639;03/01/2017;06/01/2017;3;20;442;2;23254;12;0
6644;03/01/2017;03/01/2017;0;16;460;2;38554;12;0
6842;03/01/2017;06/01/2017;3;1;415;2;12875;8;0
6847;03/01/2017;03/01/2017;0;8;122;2;14908;18;0
6898;03/01/2017;04/01/2017;1;13;2516;2;32684;80;0
6899;03/01/2017;03/01/2017;0;17;2517;2;14370;80;0
6901;03/01/2017;12/01/2017;9;12;2491;2;7186;80;0
6948;03/01/2017;07/01/2017;4;25;817;2;28317;4;0
6950;03/01/2017;03/01/2017;0;18;562;2;4227;4;0
6952;03/01/2017;03/01/2017;0;3;899;2;11344;4;0
6953;03/01/2017;03/01/2017;0;3;240;2;21078;4;0
6969;03/01/2017;03/01/2017;0;4;297;2;20572;4;0
6973;03/01/2017;10/01/2017;7;15;511;2;22058;4;0
6975;03/01/2017;04/01/2017;1;22;470;2;23678;4;0
6978;03/01/2017;03/01/2017;0;19;772;2;23390;4;0
6987;03/01/2017;03/01/2017;0;21;598;2;21892;4;0
6990;03/01/2017;03/01/2017;0;22;844;2;7862;4;0
6993;03/01/2017;04/01/2017;1;3;1143;2;8863;4;0
6994;03/01/2017;03/01/2017;0;17;1143;2;25989;4;0
7002;03/01/2017;11/01/2017;8;22;1252;2;17835;4;0
7004;03/01/2017;04/01/2017;1;12;167;2;17219;4;0
7010;03/01/2017;10/01/2017;7;23;896;2;38080;4;0
7022;03/01/2017;04/01/2017;1;2;1248;2;6633;4;0
7024;03/01/2017;10/01/2017;7;21;497;2;17450;4;0
7029;03/01/2017;04/01/2017;1;22;288;2;19428;4;0
7040;03/01/2017;08/01/2017;5;17;1268;2;31704;4;0
7048;03/01/2017;08/01/2017;5;7;1110;2;17255;4;0
7050;03/01/2017;03/01/2017;0;15;1311;2;34889;4;0
7117;03/01/2017;05/01/2017;2;24;285;2;8336;9;0
7121;03/01/2017;03/01/2017;0;25;727;2;24605;9;0
7123;03/01/2017;03/01/2017;0;11;1641;2;24048;9;0
7129;03/01/2017;12/01/2017;9;21;1552;2;15174;9;0
7133;03/01/2017;06/01/2017;3;8;1421;2;16727;9;0
7135;03/01/2017;07/01/2017;4;4;681;2;12474;9;0
7141;03/01/2017;03/01/2017;0;4;984;2;32347;9;0
7149;03/01/2017;09/01/2017;6;3;360;2;30004;9;0
7151;03/01/2017;03/01/2017;0;19;1601;2;6723;9;0
7212;03/01/2017;07/01/2017;4;14;1500;2;30078;4;0
7221;03/01/2017;08/01/2017;5;18;649;2;29170;4;0
7225;03/01/2017;06/01/2017;3;3;1424;2;13546;4;0
7231;03/01/2017;09/01/2017;6;1;316;2;4958;4;0
7233;03/01/2017;08/01/2017;5;23;327;2;5255;4;0
7244;03/01/2017;03/01/2017;0;24;1384;2;6833;4;0
7312;04/01/2017;04/01/2017;0;1;1015;2;5112;9;0
7315;04/01/2017;04/01/2017;0;8;711;2;34024;9;0
7318;04/01/2017;04/01/2017;0;14;1057;2;18828;9;0
7320;04/01/2017;05/01/2017;1;23;37;2;32246;9;0
7330;04/01/2017;06/01/2017;2;19;1630;2;20870;9;0
7334;04/01/2017;04/01/2017;0;1;540;2;22419;9;0
7339;04/01/2017;08/01/2017;4;22;1452;2;29240;9;0
7343;04/01/2017;04/01/2017;0;1;811;2;42;9;0
7388;04/01/2017;11/01/2017;7;14;1340;2;14295;8;0
7399;04/01/2017;04/01/2017;0;8;933;2;13012;4;0
7406;04/01/2017;05/01/2017;1;18;778;2;15172;4;0
7446;04/01/2017;11/01/2017;7;18;1654;2;26123;9;0
7466;04/01/2017;04/01/2017;0;6;316;2;8981;4;0
7468;04/01/2017;04/01/2017;0;13;128;2;11076;4;0
7488;04/01/2017;04/01/2017;0;13;910;2;12756;4;1
7489;04/01/2017;04/01/2017;0;8;790;2;15217;4;1
7514;04/01/2017;04/01/2017;0;3;1458;2;9735;4;1
7515;04/01/2017;05/01/2017;1;21;824;2;5341;4;1
7529;04/01/2017;04/01/2017;0;21;279;2;7479;4;1
